Year	State	Month	Number	Date
2007	Minas Gerais	Setembro	5088	01/01/2007
2008	Minas Gerais	Setembro	2552	01/01/2008
2009	Minas Gerais	Setembro	1310	01/01/2009
2010	Minas Gerais	Setembro	5059	01/01/2010
2011	Minas Gerais	Setembro	5978	01/01/2011
2012	Minas Gerais	Setembro	3219	01/01/2012
2013	Minas Gerais	Setembro	1656	01/01/2013
2014	Minas Gerais	Setembro	3454	01/01/2014
2015	Minas Gerais	Setembro	3088	01/01/2015
2016	Minas Gerais	Setembro	2093	01/01/2016
2017	Minas Gerais	Setembro	4697	01/01/2017
1998	Minas Gerais	Outubro	1093	01/01/1998
1999	Minas Gerais	Outubro	1363	01/01/1999
2000	Minas Gerais	Outubro	1954	01/01/2000
2001	Minas Gerais	Outubro	528	01/01/2001
2002	Minas Gerais	Outubro	4788	01/01/2002
2003	Minas Gerais	Outubro	5391	01/01/2003
2004	Minas Gerais	Outubro	2736	01/01/2004
2005	Minas Gerais	Outubro	6546	01/01/2005
2006	Minas Gerais	Outubro	616	01/01/2006
2007	Minas Gerais	Outubro	3467	01/01/2007
2008	Minas Gerais	Outubro	3787	01/01/2008
2009	Minas Gerais	Outubro	1013	01/01/2009
2010	Minas Gerais	Outubro	2048	01/01/2010
2011	Minas Gerais	Outubro	1206	01/01/2011
2012	Minas Gerais	Outubro	3970	01/01/2012
2013	Minas Gerais	Outubro	1221	01/01/2013
2014	Minas Gerais	Outubro	4735	01/01/2014
2015	Minas Gerais	Outubro	3708	01/01/2015
2016	Minas Gerais	Outubro	948	01/01/2016
2017	Minas Gerais	Outubro	3062	01/01/2017
1998	Minas Gerais	Novembro	32	01/01/1998
1999	Minas Gerais	Novembro	271	01/01/1999
2000	Minas Gerais	Novembro	43	01/01/2000
2001	Minas Gerais	Novembro	62	01/01/2001
2002	Minas Gerais	Novembro	417	01/01/2002
2003	Minas Gerais	Novembro	399	01/01/2003
2004	Minas Gerais	Novembro	914	01/01/2004
2005	Minas Gerais	Novembro	422	01/01/2005
2006	Minas Gerais	Novembro	59	01/01/2006
2007	Minas Gerais	Novembro	1305	01/01/2007
2008	Minas Gerais	Novembro	892	01/01/2008
2009	Minas Gerais	Novembro	246	01/01/2009
2010	Minas Gerais	Novembro	82	01/01/2010
2011	Minas Gerais	Novembro	153	01/01/2011
2012	Minas Gerais	Novembro	220	01/01/2012
2013	Minas Gerais	Novembro	277	01/01/2013
2014	Minas Gerais	Novembro	398	01/01/2014
2015	Minas Gerais	Novembro	1453	01/01/2015
2016	Minas Gerais	Novembro	126	01/01/2016
2017	Minas Gerais	Novembro	136	01/01/2017
1998	Minas Gerais	Dezembro	21	01/01/1998
1999	Minas Gerais	Dezembro	32	01/01/1999
2000	Minas Gerais	Dezembro	14	01/01/2000
2001	Minas Gerais	Dezembro	44	01/01/2001
2002	Minas Gerais	Dezembro	225	01/01/2002
2003	Minas Gerais	Dezembro	225	01/01/2003
2004	Minas Gerais	Dezembro	125	01/01/2004
2005	Minas Gerais	Dezembro	65	01/01/2005
2006	Minas Gerais	Dezembro	32	01/01/2006
2007	Minas Gerais	Dezembro	95	01/01/2007
2008	Minas Gerais	Dezembro	25	01/01/2008
2009	Minas Gerais	Dezembro	108	01/01/2009
2010	Minas Gerais	Dezembro	105	01/01/2010
2011	Minas Gerais	Dezembro	43	01/01/2011
2012	Minas Gerais	Dezembro	189	01/01/2012
2013	Minas Gerais	Dezembro	98	01/01/2013
2014	Minas Gerais	Dezembro	155	01/01/2014
2015	Minas Gerais	Dezembro	295	01/01/2015
2016	Minas Gerais	Dezembro	91	01/01/2016
1998	Para	Janeiro	0	01/01/1998
1999	Para	Janeiro	87	01/01/1999
2000	Para	Janeiro	30	01/01/2000
2001	Para	Janeiro	34	01/01/2001
2002	Para	Janeiro	144	01/01/2002
2003	Para	Janeiro	900	01/01/2003
2004	Para	Janeiro	579	01/01/2004
2005	Para	Janeiro	1768	01/01/2005
2006	Para	Janeiro	403	01/01/2006
2007	Para	Janeiro	467	01/01/2007
2008	Para	Janeiro	131	01/01/2008
2009	Para	Janeiro	241	01/01/2009
2010	Para	Janeiro	437	01/01/2010
2011	Para	Janeiro	108	01/01/2011
2012	Para	Janeiro	392	01/01/2012
2013	Para	Janeiro	167	01/01/2013
2014	Para	Janeiro	251	01/01/2014
2015	Para	Janeiro	725	01/01/2015
2016	Para	Janeiro	1322	01/01/2016
2017	Para	Janeiro	219	01/01/2017
1998	Para	Fevereiro	0	01/01/1998
1999	Para	Fevereiro	285	01/01/1999
2000	Para	Fevereiro	29	01/01/2000
2001	Para	Fevereiro	16	01/01/2001
2002	Para	Fevereiro	120	01/01/2002
2003	Para	Fevereiro	34	01/01/2003
2004	Para	Fevereiro	20	01/01/2004
2005	Para	Fevereiro	85	01/01/2005
2006	Para	Fevereiro	49	01/01/2006
2007	Para	Fevereiro	23	01/01/2007
2008	Para	Fevereiro	54	01/01/2008
2009	Para	Fevereiro	15	01/01/2009
2010	Para	Fevereiro	102	01/01/2010
2011	Para	Fevereiro	13	01/01/2011
2012	Para	Fevereiro	63	01/01/2012
2013	Para	Fevereiro	30	01/01/2013
2014	Para	Fevereiro	37	01/01/2014
2015	Para	Fevereiro	108	01/01/2015
2016	Para	Fevereiro	430	01/01/2016
2017	Para	Fevereiro	14	01/01/2017
1998	Para	Marco	0	01/01/1998
1999	Para	Marco	7	01/01/1999
2000	Para	Marco	181	01/01/2000
2001	Para	Marco	0	01/01/2001
2002	Para	Marco	14	01/01/2002
2003	Para	Marco	27	01/01/2003
2004	Para	Marco	22	01/01/2004
2005	Para	Marco	21	01/01/2005
2006	Para	Marco	10	01/01/2006
2007	Para	Marco	6	01/01/2007
2008	Para	Marco	4	01/01/2008
2009	Para	Marco	4	01/01/2009
2010	Para	Marco	110	01/01/2010
2011	Para	Marco	21	01/01/2011
2012	Para	Marco	30	01/01/2012
2013	Para	Marco	19	01/01/2013
2014	Para	Marco	34	01/01/2014
2015	Para	Marco	61	01/01/2015
2016	Para	Marco	81	01/01/2016
2017	Para	Marco	42	01/01/2017
1998	Para	Abril	0	01/01/1998
1999	Para	Abril	6	01/01/1999
2000	Para	Abril	40	01/01/2000
2001	Para	Abril	0	01/01/2001
2002	Para	Abril	11	01/01/2002
2003	Para	Abril	14	01/01/2003
2004	Para	Abril	23	01/01/2004
2005	Para	Abril	14	01/01/2005
2006	Para	Abril	2	01/01/2006
2007	Para	Abril	0	01/01/2007
2008	Para	Abril	7	01/01/2008
2009	Para	Abril	8	01/01/2009
2010	Para	Abril	22	01/01/2010
2011	Para	Abril	10	01/01/2011
2012	Para	Abril	11	01/01/2012
2013	Para	Abril	20	01/01/2013
2014	Para	Abril	27	01/01/2014
2015	Para	Abril	27	01/01/2015
2016	Para	Abril	66	01/01/2016
2017	Para	Abril	45	01/01/2017
1998	Para	Maio	0	01/01/1998
1999	Para	Maio	4	01/01/1999
2000	Para	Maio	12	01/01/2000
2001	Para	Maio	7	01/01/2001
2002	Para	Maio	18	01/01/2002
2003	Para	Maio	3	01/01/2003
2004	Para	Maio	44	01/01/2004
2005	Para	Maio	37	01/01/2005
2006	Para	Maio	0	01/01/2006
2007	Para	Maio	9	01/01/2007
2008	Para	Maio	0	01/01/2008
2009	Para	Maio	7	01/01/2009
2010	Para	Maio	57	01/01/2010
2011	Para	Maio	16	01/01/2011
2012	Para	Maio	59	01/01/2012
2013	Para	Maio	42	01/01/2013
2014	Para	Maio	70	01/01/2014
2015	Para	Maio	95	01/01/2015
2016	Para	Maio	154	01/01/2016
2017	Para	Maio	114	01/01/2017
1998	Para	Junho	58	01/01/1998
1999	Para	Junho	37	01/01/1999
2000	Para	Junho	59	01/01/2000
2001	Para	Junho	42	01/01/2001
2002	Para	Junho	149	01/01/2002
2003	Para	Junho	64	01/01/2003
2004	Para	Junho	340	01/01/2004
2005	Para	Junho	304	01/01/2005
2006	Para	Junho	78	01/01/2006
2007	Para	Junho	129	01/01/2007
2008	Para	Junho	48	01/01/2008
2009	Para	Junho	38	01/01/2009
2010	Para	Junho	94	01/01/2010
2011	Para	Junho	105	01/01/2011
2012	Para	Junho	183	01/01/2012
2013	Para	Junho	173	01/01/2013
2014	Para	Junho	319	01/01/2014
2015	Para	Junho	265	01/01/2015
2016	Para	Junho	502	01/01/2016
2017	Para	Junho	679	01/01/2017
1998	Para	Julho	638	01/01/1998
1999	Para	Julho	982	01/01/1999
2000	Para	Julho	426	01/01/2000
2001	Para	Julho	708	01/01/2001
2002	Para	Julho	772	01/01/2002
2003	Para	Julho	1571	01/01/2003
2004	Para	Julho	4436	01/01/2004
2005	Para	Julho	4364	01/01/2005
2006	Para	Julho	615	01/01/2006
2007	Para	Julho	476	01/01/2007
2008	Para	Julho	971	01/01/2008
2009	Para	Julho	397	01/01/2009
2010	Para	Julho	1432	01/01/2010
2011	Para	Julho	632	01/01/2011
2012	Para	Julho	661	01/01/2012
2013	Para	Julho	447	01/01/2013
2014	Para	Julho	825	01/01/2014
2015	Para	Julho	906	01/01/2015
2016	Para	Julho	1579	01/01/2016
2017	Para	Julho	4985	01/01/2017
1998	Para	Agosto	6815	01/01/1998
1999	Para	Agosto	6178	01/01/1999
2000	Para	Agosto	5484	01/01/2000
2001	Para	Agosto	9043	01/01/2001
2002	Para	Agosto	15664	01/01/2002
2003	Para	Agosto	6255	01/01/2003
2004	Para	Agosto	12812	01/01/2004
2005	Para	Agosto	13055	01/01/2005
2006	Para	Agosto	7575	01/01/2006
2007	Para	Agosto	14352	01/01/2007
2008	Para	Agosto	4435	01/01/2008
2009	Para	Agosto	3859	01/01/2009
2010	Para	Agosto	18130	01/01/2010
2011	Para	Agosto	2195	01/01/2011
2012	Para	Agosto	6964	01/01/2012
2013	Para	Agosto	2161	01/01/2013
2014	Para	Agosto	8555	01/01/2014
2015	Para	Agosto	7913	01/01/2015
2016	Para	Agosto	4863	01/01/2016
2017	Para	Agosto	11962	01/01/2017
1998	Para	Setembro	6237	01/01/1998
1999	Para	Setembro	4419	01/01/1999
2000	Para	Setembro	2569	01/01/2000
2001	Para	Setembro	6139	01/01/2001
2002	Para	Setembro	5609	01/01/2002
2003	Para	Setembro	8447	01/01/2003
2004	Para	Setembro	9471	01/01/2004
2005	Para	Setembro	9032	01/01/2005
2006	Para	Setembro	8372	01/01/2006
2007	Para	Setembro	14590	01/01/2007
2008	Para	Setembro	6294	01/01/2008
2009	Para	Setembro	6051	01/01/2009
2010	Para	Setembro	10810	01/01/2010
2011	Para	Setembro	5185	01/01/2011
2012	Para	Setembro	6870	01/01/2012
2013	Para	Setembro	3360	01/01/2013
2014	Para	Setembro	6787	01/01/2014
2015	Para	Setembro	11068	01/01/2015
2016	Para	Setembro	3953	01/01/2016
2017	Para	Setembro	25004	01/01/2017
1998	Para	Outubro	3665	01/01/1998
1999	Para	Outubro	5026	01/01/1999
2000	Para	Outubro	4313	01/01/2000
2001	Para	Outubro	5096	01/01/2001
2002	Para	Outubro	5189	01/01/2002
2003	Para	Outubro	3803	01/01/2003
2004	Para	Outubro	4726	01/01/2004
2005	Para	Outubro	5083	01/01/2005
2006	Para	Outubro	5964	01/01/2006
2007	Para	Outubro	2504	01/01/2007
2008	Para	Outubro	6653	01/01/2008
2009	Para	Outubro	6342	01/01/2009
2010	Para	Outubro	3843	01/01/2010
2011	Para	Outubro	3141	01/01/2011
2012	Para	Outubro	3714	01/01/2012
2013	Para	Outubro	4921	01/01/2013
2014	Para	Outubro	6448	01/01/2014
2015	Para	Outubro	7781	01/01/2015
2016	Para	Outubro	5281	01/01/2016
2017	Para	Outubro	7628	01/01/2017
1998	Para	Novembro	1861	01/01/1998
1999	Para	Novembro	2682	01/01/1999
2000	Para	Novembro	3366	01/01/2000
2001	Para	Novembro	4938	01/01/2001
2002	Para	Novembro	7996	01/01/2002
2003	Para	Novembro	6195	01/01/2003
2004	Para	Novembro	9842	01/01/2004
2005	Para	Novembro	4968	01/01/2005
2006	Para	Novembro	2883	01/01/2006
2007	Para	Novembro	2890	01/01/2007
2008	Para	Novembro	2403	01/01/2008
2009	Para	Novembro	10012	01/01/2009
2010	Para	Novembro	4417	01/01/2010
2011	Para	Novembro	3043	01/01/2011
2012	Para	Novembro	6156	01/01/2012
2013	Para	Novembro	3688	01/01/2013
2014	Para	Novembro	7767	01/01/2014
2015	Para	Novembro	9643	01/01/2015
2016	Para	Novembro	7879	01/01/2016
2017	Para	Novembro	9079	01/01/2017
1998	Para	Dezembro	1008	01/01/1998
1999	Para	Dezembro	766	01/01/1999
2000	Para	Dezembro	1698	01/01/2000
2001	Para	Dezembro	2564	01/01/2001
2002	Para	Dezembro	3118	01/01/2002
2003	Para	Dezembro	4787	01/01/2003
2004	Para	Dezembro	5508	01/01/2004
2005	Para	Dezembro	1495	01/01/2005
2006	Para	Dezembro	1417	01/01/2006
2007	Para	Dezembro	689	01/01/2007
2008	Para	Dezembro	684	01/01/2008
2009	Para	Dezembro	2832	01/01/2009
2010	Para	Dezembro	1612	01/01/2010
2011	Para	Dezembro	3218	01/01/2011
2012	Para	Dezembro	1812	01/01/2012
2013	Para	Dezembro	5514	01/01/2013
2014	Para	Dezembro	4828	01/01/2014
2015	Para	Dezembro	6610	01/01/2015
2016	Para	Dezembro	3300	01/01/2016
1998	Paraiba	Janeiro	0	01/01/1998
1999	Paraiba	Janeiro	26	01/01/1999
2000	Paraiba	Janeiro	0	01/01/2000
2001	Paraiba	Janeiro	11	01/01/2001
2002	Paraiba	Janeiro	5	01/01/2002
2003	Paraiba	Janeiro	70	01/01/2003
2004	Paraiba	Janeiro	33	01/01/2004
2005	Paraiba	Janeiro	178	01/01/2005
2006	Paraiba	Janeiro	83	01/01/2006
2007	Paraiba	Janeiro	69	01/01/2007
2008	Paraiba	Janeiro	77	01/01/2008
2009	Paraiba	Janeiro	115	01/01/2009
2010	Paraiba	Janeiro	46	01/01/2010
2011	Paraiba	Janeiro	11	01/01/2011
2012	Paraiba	Janeiro	61	01/01/2012
2013	Paraiba	Janeiro	38	01/01/2013
2014	Paraiba	Janeiro	75	01/01/2014
2015	Paraiba	Janeiro	42	01/01/2015
2016	Paraiba	Janeiro	18	01/01/2016
2017	Paraiba	Janeiro	23	01/01/2017
1998	Paraiba	Fevereiro	0	01/01/1998
1999	Paraiba	Fevereiro	2	01/01/1999
2000	Paraiba	Fevereiro	11	01/01/2000
2001	Paraiba	Fevereiro	6	01/01/2001
2002	Paraiba	Fevereiro	18	01/01/2002
2003	Paraiba	Fevereiro	3	01/01/2003
2004	Paraiba	Fevereiro	3	01/01/2004
2005	Paraiba	Fevereiro	15	01/01/2005
2006	Paraiba	Fevereiro	7	01/01/2006
2007	Paraiba	Fevereiro	7	01/01/2007
2008	Paraiba	Fevereiro	20	01/01/2008
2009	Paraiba	Fevereiro	9	01/01/2009
2010	Paraiba	Fevereiro	15	01/01/2010
2011	Paraiba	Fevereiro	5	01/01/2011
2012	Paraiba	Fevereiro	15	01/01/2012
2013	Paraiba	Fevereiro	9	01/01/2013
2014	Paraiba	Fevereiro	6	01/01/2014
2015	Paraiba	Fevereiro	15	01/01/2015
2016	Paraiba	Fevereiro	4	01/01/2016
2017	Paraiba	Fevereiro	8	01/01/2017
1998	Paraiba	Marco	0	01/01/1998
1999	Paraiba	Marco	1	01/01/1999
2000	Paraiba	Marco	5	01/01/2000
2001	Paraiba	Marco	0	01/01/2001
2002	Paraiba	Marco	3	01/01/2002
2003	Paraiba	Marco	0	01/01/2003
2004	Paraiba	Marco	3	01/01/2004
2005	Paraiba	Marco	13	01/01/2005
2006	Paraiba	Marco	4	01/01/2006
2007	Paraiba	Marco	1	01/01/2007
2008	Paraiba	Marco	8	01/01/2008
2009	Paraiba	Marco	2	01/01/2009
2010	Paraiba	Marco	16	01/01/2010
2011	Paraiba	Marco	6	01/01/2011
2012	Paraiba	Marco	4	01/01/2012
2013	Paraiba	Marco	3	01/01/2013
2014	Paraiba	Marco	18	01/01/2014
2015	Paraiba	Marco	7	01/01/2015
2016	Paraiba	Marco	1	01/01/2016
2017	Paraiba	Marco	2	01/01/2017
1998	Paraiba	Abril	0	01/01/1998
1999	Paraiba	Abril	3	01/01/1999
2000	Paraiba	Abril	1	01/01/2000
2001	Paraiba	Abril	0	01/01/2001
2002	Paraiba	Abril	1	01/01/2002
2003	Paraiba	Abril	0	01/01/2003
2004	Paraiba	Abril	3	01/01/2004
2005	Paraiba	Abril	2	01/01/2005
2006	Paraiba	Abril	0	01/01/2006
2007	Paraiba	Abril	0	01/01/2007
2008	Paraiba	Abril	0	01/01/2008
2009	Paraiba	Abril	1	01/01/2009
2010	Paraiba	Abril	2	01/01/2010
2011	Paraiba	Abril	2	01/01/2011
2012	Paraiba	Abril	13	01/01/2012
2013	Paraiba	Abril	6	01/01/2013
2014	Paraiba	Abril	8	01/01/2014
2015	Paraiba	Abril	11	01/01/2015
2016	Paraiba	Abril	1	01/01/2016
2017	Paraiba	Abril	1	01/01/2017
1998	Paraiba	Maio	0	01/01/1998
1999	Paraiba	Maio	0	01/01/1999
2000	Paraiba	Maio	0	01/01/2000
2001	Paraiba	Maio	4	01/01/2001
2002	Paraiba	Maio	1	01/01/2002
2003	Paraiba	Maio	0	01/01/2003
2004	Paraiba	Maio	1	01/01/2004
2005	Paraiba	Maio	0	01/01/2005
2006	Paraiba	Maio	0	01/01/2006
2007	Paraiba	Maio	0	01/01/2007
2008	Paraiba	Maio	0	01/01/2008
2009	Paraiba	Maio	0	01/01/2009
2010	Paraiba	Maio	10	01/01/2010
2011	Paraiba	Maio	0	01/01/2011
2012	Paraiba	Maio	10	01/01/2012
2013	Paraiba	Maio	3	01/01/2013
2014	Paraiba	Maio	1	01/01/2014
2015	Paraiba	Maio	6	01/01/2015
2016	Paraiba	Maio	1	01/01/2016
2017	Paraiba	Maio	1	01/01/2017
1998	Paraiba	Junho	3	01/01/1998
1999	Paraiba	Junho	1	01/01/1999
2000	Paraiba	Junho	2	01/01/2000
2001	Paraiba	Junho	0	01/01/2001
2002	Paraiba	Junho	1	01/01/2002
2003	Paraiba	Junho	0	01/01/2003
2004	Paraiba	Junho	0	01/01/2004
2005	Paraiba	Junho	0	01/01/2005
2006	Paraiba	Junho	0	01/01/2006
2007	Paraiba	Junho	0	01/01/2007
2008	Paraiba	Junho	0	01/01/2008
2009	Paraiba	Junho	0	01/01/2009
2010	Paraiba	Junho	3	01/01/2010
2011	Paraiba	Junho	2	01/01/2011
2012	Paraiba	Junho	5	01/01/2012
2013	Paraiba	Junho	3	01/01/2013
2014	Paraiba	Junho	1	01/01/2014
2015	Paraiba	Junho	0	01/01/2015
2016	Paraiba	Junho	4	01/01/2016
2017	Paraiba	Junho	0	01/01/2017
1998	Paraiba	Julho	0	01/01/1998
1999	Paraiba	Julho	1	01/01/1999
2000	Paraiba	Julho	0	01/01/2000
2001	Paraiba	Julho	8	01/01/2001
2002	Paraiba	Julho	8	01/01/2002
2003	Paraiba	Julho	6	01/01/2003
2004	Paraiba	Julho	1	01/01/2004
2005	Paraiba	Julho	0	01/01/2005
2006	Paraiba	Julho	1	01/01/2006
2007	Paraiba	Julho	1	01/01/2007
2008	Paraiba	Julho	0	01/01/2008
2009	Paraiba	Julho	3	01/01/2009
2010	Paraiba	Julho	7	01/01/2010
2011	Paraiba	Julho	6	01/01/2011
2012	Paraiba	Julho	5	01/01/2012
2013	Paraiba	Julho	1	01/01/2013
2014	Paraiba	Julho	9	01/01/2014
2015	Paraiba	Julho	3	01/01/2015
2016	Paraiba	Julho	22	01/01/2016
2017	Paraiba	Julho	2	01/01/2017
1998	Paraiba	Agosto	3	01/01/1998
1999	Paraiba	Agosto	4	01/01/1999
2000	Paraiba	Agosto	7	01/01/2000
2001	Paraiba	Agosto	34	01/01/2001
2002	Paraiba	Agosto	38	01/01/2002
2003	Paraiba	Agosto	14	01/01/2003
2004	Paraiba	Agosto	18	01/01/2004
2005	Paraiba	Agosto	0	01/01/2005
2006	Paraiba	Agosto	3	01/01/2006
2007	Paraiba	Agosto	8	01/01/2007
2008	Paraiba	Agosto	1	01/01/2008
2009	Paraiba	Agosto	4	01/01/2009
2010	Paraiba	Agosto	9	01/01/2010
2011	Paraiba	Agosto	12	01/01/2011
2012	Paraiba	Agosto	13	01/01/2012
2013	Paraiba	Agosto	3	01/01/2013
2014	Paraiba	Agosto	30	01/01/2014
2015	Paraiba	Agosto	5	01/01/2015
2016	Paraiba	Agosto	50	01/01/2016
2017	Paraiba	Agosto	3	01/01/2017
1998	Paraiba	Setembro	50	01/01/1998
1999	Paraiba	Setembro	14	01/01/1999
2000	Paraiba	Setembro	9	01/01/2000
2001	Paraiba	Setembro	98	01/01/2001
2002	Paraiba	Setembro	63	01/01/2002
2003	Paraiba	Setembro	81	01/01/2003
2004	Paraiba	Setembro	34	01/01/2004
2005	Paraiba	Setembro	13	01/01/2005
2006	Paraiba	Setembro	27	01/01/2006
2007	Paraiba	Setembro	22	01/01/2007
2008	Paraiba	Setembro	21	01/01/2008
2009	Paraiba	Setembro	28	01/01/2009
2010	Paraiba	Setembro	37	01/01/2010
2011	Paraiba	Setembro	55	01/01/2011
2012	Paraiba	Setembro	71	01/01/2012
2013	Paraiba	Setembro	25	01/01/2013
2014	Paraiba	Setembro	51	01/01/2014
2015	Paraiba	Setembro	48	01/01/2015
2016	Paraiba	Setembro	131	01/01/2016
2017	Paraiba	Setembro	30	01/01/2017
1998	Paraiba	Outubro	179	01/01/1998
1999	Paraiba	Outubro	48	01/01/1999
2000	Paraiba	Outubro	125	01/01/2000
2001	Paraiba	Outubro	279	01/01/2001
2002	Paraiba	Outubro	193	01/01/2002
2003	Paraiba	Outubro	381	01/01/2003
2004	Paraiba	Outubro	190	01/01/2004
2005	Paraiba	Outubro	155	01/01/2005
2006	Paraiba	Outubro	135	01/01/2006
2007	Paraiba	Outubro	111	01/01/2007
2008	Paraiba	Outubro	80	01/01/2008
2009	Paraiba	Outubro	117	01/01/2009
2010	Paraiba	Outubro	150	01/01/2010
2011	Paraiba	Outubro	200	01/01/2011
2012	Paraiba	Outubro	136	01/01/2012
2013	Paraiba	Outubro	58	01/01/2013
2014	Paraiba	Outubro	70	01/01/2014
2015	Paraiba	Outubro	121	01/01/2015
2016	Paraiba	Outubro	304	01/01/2016
2017	Paraiba	Outubro	123	01/01/2017
1998	Paraiba	Novembro	46	01/01/1998
1999	Paraiba	Novembro	38	01/01/1999
2000	Paraiba	Novembro	65	01/01/2000
2001	Paraiba	Novembro	294	01/01/2001
2002	Paraiba	Novembro	238	01/01/2002
2003	Paraiba	Novembro	538	01/01/2003
2004	Paraiba	Novembro	331	01/01/2004
2005	Paraiba	Novembro	280	01/01/2005
2006	Paraiba	Novembro	215	01/01/2006
2007	Paraiba	Novembro	256	01/01/2007
2008	Paraiba	Novembro	175	01/01/2008
2009	Paraiba	Novembro	428	01/01/2009
2010	Paraiba	Novembro	451	01/01/2010
2011	Paraiba	Novembro	359	01/01/2011
2012	Paraiba	Novembro	130	01/01/2012
2013	Paraiba	Novembro	95	01/01/2013
2014	Paraiba	Novembro	111	01/01/2014
2015	Paraiba	Novembro	206	01/01/2015
2016	Paraiba	Novembro	132	01/01/2016
2017	Paraiba	Novembro	101	01/01/2017
1998	Paraiba	Dezembro	51	01/01/1998
1999	Paraiba	Dezembro	40	01/01/1999
2000	Paraiba	Dezembro	34	01/01/2000
2001	Paraiba	Dezembro	70	01/01/2001
2002	Paraiba	Dezembro	163	01/01/2002
2003	Paraiba	Dezembro	288	01/01/2003
2004	Paraiba	Dezembro	351	01/01/2004
2005	Paraiba	Dezembro	159	01/01/2005
2006	Paraiba	Dezembro	196	01/01/2006
2007	Paraiba	Dezembro	133	01/01/2007
2008	Paraiba	Dezembro	187	01/01/2008
2009	Paraiba	Dezembro	270	01/01/2009
2010	Paraiba	Dezembro	65	01/01/2010
2011	Paraiba	Dezembro	179	01/01/2011
2012	Paraiba	Dezembro	62	01/01/2012
2013	Paraiba	Dezembro	78	01/01/2013
2014	Paraiba	Dezembro	62	01/01/2014
2015	Paraiba	Dezembro	122	01/01/2015
2016	Paraiba	Dezembro	8	01/01/2016
1998	Parana	Janeiro	0	01/01/1998
1999	Parana	Janeiro	7	01/01/1999
2000	Parana	Janeiro	49	01/01/2000
2001	Parana	Janeiro	32	01/01/2001
2002	Parana	Janeiro	47	01/01/2002
2003	Parana	Janeiro	109	01/01/2003
2004	Parana	Janeiro	88	01/01/2004
2005	Parana	Janeiro	55	01/01/2005
2006	Parana	Janeiro	78	01/01/2006
2007	Parana	Janeiro	11	01/01/2007
2008	Parana	Janeiro	35	01/01/2008
2009	Parana	Janeiro	35	01/01/2009
2010	Parana	Janeiro	18	01/01/2010
2011	Parana	Janeiro	35	01/01/2011
2012	Parana	Janeiro	31	01/01/2012
2013	Parana	Janeiro	28	01/01/2013
2014	Parana	Janeiro	86	01/01/2014
2015	Parana	Janeiro	120	01/01/2015
2016	Parana	Janeiro	113	01/01/2016
2017	Parana	Janeiro	55	01/01/2017
1998	Parana	Fevereiro	0	01/01/1998
1999	Parana	Fevereiro	22	01/01/1999
2000	Parana	Fevereiro	67	01/01/2000
2001	Parana	Fevereiro	8	01/01/2001
2002	Parana	Fevereiro	24	01/01/2002
2003	Parana	Fevereiro	46	01/01/2003
2004	Parana	Fevereiro	42	01/01/2004
2005	Parana	Fevereiro	77	01/01/2005
2006	Parana	Fevereiro	60	01/01/2006
2007	Parana	Fevereiro	32	01/01/2007
2008	Parana	Fevereiro	38	01/01/2008
2009	Parana	Fevereiro	21	01/01/2009
2010	Parana	Fevereiro	46	01/01/2010
2011	Parana	Fevereiro	8	01/01/2011
2012	Parana	Fevereiro	40	01/01/2012
2013	Parana	Fevereiro	9	01/01/2013
2014	Parana	Fevereiro	52	01/01/2014
2015	Parana	Fevereiro	58	01/01/2015
2016	Parana	Fevereiro	31	01/01/2016
2017	Parana	Fevereiro	60	01/01/2017
1998	Parana	Marco	0	01/01/1998
1999	Parana	Marco	40	01/01/1999
2000	Parana	Marco	52	01/01/2000
2001	Parana	Marco	12	01/01/2001
2002	Parana	Marco	18	01/01/2002
2003	Parana	Marco	76	01/01/2003
2004	Parana	Marco	83	01/01/2004
2005	Parana	Marco	84	01/01/2005
2006	Parana	Marco	56	01/01/2006
2007	Parana	Marco	54	01/01/2007
2008	Parana	Marco	43	01/01/2008
2009	Parana	Marco	57	01/01/2009
2010	Parana	Marco	22	01/01/2010
2011	Parana	Marco	21	01/01/2011
2012	Parana	Marco	55	01/01/2012
2013	Parana	Marco	18	01/01/2013
2014	Parana	Marco	42	01/01/2014
2015	Parana	Marco	55	01/01/2015
2016	Parana	Marco	63	01/01/2016
2017	Parana	Marco	43	01/01/2017
1998	Parana	Abril	0	01/01/1998
1999	Parana	Abril	39	01/01/1999
2000	Parana	Abril	51	01/01/2000
2001	Parana	Abril	43	01/01/2001
2002	Parana	Abril	84	01/01/2002
2003	Parana	Abril	130	01/01/2003
2004	Parana	Abril	68	01/01/2004
2005	Parana	Abril	22	01/01/2005
2006	Parana	Abril	49	01/01/2006
2007	Parana	Abril	14	01/01/2007
2008	Parana	Abril	62	01/01/2008
2009	Parana	Abril	80	01/01/2009
2010	Parana	Abril	71	01/01/2010
2011	Parana	Abril	38	01/01/2011
2012	Parana	Abril	38	01/01/2012
2013	Parana	Abril	72	01/01/2013
2014	Parana	Abril	38	01/01/2014
2015	Parana	Abril	83	01/01/2015
2016	Parana	Abril	167	01/01/2016
2017	Parana	Abril	77	01/01/2017
1998	Parana	Maio	0	01/01/1998
1999	Parana	Maio	57	01/01/1999
2000	Parana	Maio	43	01/01/2000
2001	Parana	Maio	26	01/01/2001
2002	Parana	Maio	65	01/01/2002
2003	Parana	Maio	115	01/01/2003
2004	Parana	Maio	9	01/01/2004
